flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
1,3.000000,263.149994,500.000000,1.651700,4.046764e-12,6.133170e-13,4.460566e-12,4.138027e-13,3.000300e-04,-1.000000
1,3.000000,263.149994,750.000000,2.477600,1.363547e-11,6.971321e-12,1.832866e-11,4.693186e-12,3.829900e-04,-1.000000
1,3.000000,263.149994,1000.000000,3.303500,3.235526e-11,3.916140e-11,5.872579e-11,2.637053e-11,4.660200e-04,-1.000000
2,3.000000,263.149994,25.000000,0.065800,4.717494e-16,8.996144e-21,4.717554e-16,6.010063e-21,1.789300e-04,-1.000000
2,3.000000,263.149994,50.000000,0.131600,3.773995e-15,5.757532e-19,3.774380e-15,3.846488e-19,1.793000e-04,-1.000000
2,3.000000,263.149994,100.000000,0.263200,3.019290e-14,3.684836e-17,3.021752e-14,2.462317e-17,1.802900e-04,-1.000000
2,3.000000,263.149994,200.000000,0.526500,2.415633e-13,2.358283e-15,2.431416e-13,1.578210e-15,1.844900e-04,-1.000000
2,3.000000,263.149994,500.000000,1.316200,3.776587e-12,5.757829e-13,4.161707e-12,3.851200e-13,1.985900e-04,-1.000000
2,3.000000,263.149994,750.000000,1.974300,1.273617e-11,6.552060e-12,1.711110e-11,4.374923e-12,2.255200e-04,-1.000000
2,3.000000,263.149994,1000.000000,2.632400,3.022778e-11,3.682863e-11,5.480540e-11,2.457762e-11,2.528700e-04,-1.000000
3,3.000000,263.149994,25.000000,0.081100,5.659383e-16,1.069594e-20,5.659455e-16,7.259828e-21,1.783200e-04,-1.000000
3,3.000000,263.149994,50.000000,0.162300,4.527506e-15,6.845360e-19,4.527971e-15,4.646416e-19,1.788000e-04,-1.000000
3,3.000000,263.149994,100.000000,0.324600,3.622256e-14,4.380920e-17,3.625231e-14,2.974743e-17,1.812800e-04,-1.000000
3,3.000000,263.149994,200.000000,0.649200,2.897931e-13,2.803757e-15,2.917018e-13,1.908706e-15,2.050100e-04,-1.000000
3,3.000000,263.149994,500.000000,1.623000,4.573923e-12,6.905071e-13,5.045123e-12,4.711996e-13,3.627600e-04,-1.000000
3,3.000000,263.149994,750.000000,2.434400,1.534996e-11,7.814950e-12,2.065740e-11,5.307446e-12,4.618700e-04,-1.000000
3,3.000000,263.149994,1000.000000,3.245900,3.623513e-11,4.367103e-11,6.588862e-11,2.965349e-11,5.988200e-04,-1.000000
4,3.000000,263.149994,25.000000,0.126500,7.562599e-16,1.412785e-20,7.562697e-16,9.776243e-21,1.776300e-04,-1.000000
4,3.000000,263.149994,50.000000,0.252900,6.050158e-15,9.041743e-19,6.050783e-15,6.256717e-19,1.790500e-04,-1.000000
4,3.000000,263.149994,100.000000,0.505900,4.840252e-14,5.786351e-17,4.844256e-14,4.004274e-17,1.941700e-04,-1.000000
4,3.000000,263.149994,200.000000,1.011800,3.897083e-13,3.724868e-15,3.923022e-13,2.593950e-15,2.829900e-04,-1.000000
4,3.000000,263.149994,500.000000,2.529400,6.056362e-12,9.023878e-13,6.685623e-12,6.292610e-13,7.963200e-04,-1.000000
4,3.000000,263.149994,750.000000,3.794100,1.998642e-11,1.002628e-11,2.695251e-11,6.966089e-12,1.313400e-03,-1.000000
4,3.000000,263.149994,1000.000000,5.058800,4.743177e-11,5.607120e-11,8.642208e-11,3.899031e-11,2.543200e-03,-1.000000
5,3.000000,263.149994,18.700001,0.050000,2.058636e-16,1.628048e-21,2.058647e-16,1.089707e-21,1.788000e-04,-1.000000
5,3.000000,263.149994,36.500000,0.100000,1.524276e-15,8.969572e-20,1.524336e-15,6.004356e-20,1.798500e-04,-1.000000
5,3.000000,263.149994,59.500000,0.200000,7.255007e-15,1.806443e-18,7.256220e-15,1.212857e-18,1.832500e-04,-1.000000
5,3.000000,263.149994,82.199997,0.300000,1.912829e-14,1.250734e-17,1.913669e-14,8.398131e-18,1.878100e-04,-1.000000
5,3.000000,263.149994,89.900002,0.400000,2.711439e-14,2.266095e-17,2.712963e-14,1.523271e-17,1.929700e-04,-1.000000
5,3.000000,263.149994,112.400002,0.500000,5.299426e-14,8.655994e-17,5.305244e-14,5.818572e-17,2.007900e-04,-1.000000
5,3.000000,263.149994,133.699997,0.750000,9.639544e-14,2.621902e-16,9.657263e-14,1.771845e-16,2.204400e-04,-1.000000
5,3.000000,263.149994,202.899994,1.000000,3.095747e-13,2.982846e-15,3.115890e-13,2.014253e-15,2.586700e-04,-1.000000
5,3.000000,263.149994,276.700012,1.500000,8.117387e-13,1.977796e-14,8.251670e-13,1.342828e-14,3.506200e-04,-1.000000
5,3.000000,263.149994,309.799988,2.000000,1.168923e-12,3.965170e-14,1.195711e-12,2.678712e-14,4.720300e-04,-1.000000
5,3.000000,263.149994,385.600006,2.500000,2.219918e-12,1.455100e-13,2.318119e-12,9.820160e-14,5.983600e-04,-1.000000
